k0,Delta,k4,K,target_n41,sweeps,seed,N4,N41,n0n4,d_H,blob,active,slicecorr,maxfrac,cos3err,pin,valid,foliation,wall_s
1.0,0.2,0.708,80,10000,400,0,25772,10086,0.0672,2.674,2.284,21,0.124,0.0286,0.704,0.172,True,CLEAN,1339
1.0,0.4,0.672,80,10000,400,0,27582,10088,0.0662,2.772,1.983,23,0.372,0.0248,0.63,0.176,True,CLEAN,1373
1.0,0.6,0.68,80,10000,400,0,28382,10138,0.0657,2.784,2.273,19,0.23,0.0284,0.701,0.276,True,CLEAN,1285
1.0,0.8,0.668,80,10000,400,0,28806,10130,0.0659,2.796,1.801,26,0.274,0.0225,0.675,0.26,True,CLEAN,1307
1.5,0.2,0.724,80,10000,400,0,23550,10056,0.0748,2.685,2.816,20,0.322,0.0352,0.738,0.112,True,CLEAN,1131
1.5,0.4,0.688,80,10000,400,0,26788,10144,0.0693,2.77,2.05,19,0.349,0.0256,0.685,0.288,True,CLEAN,1231
1.5,0.6,0.752,80,10000,400,0,24274,10072,0.0772,2.687,2.113,28,0.342,0.0264,0.694,0.144,True,CLEAN,1201
1.5,0.8,0.676,80,10000,400,0,27962,10176,0.0683,2.84,2.421,16,0.338,0.0303,0.878,0.352,True,CLEAN,1253
2.0,0.2,0.816,80,10000,400,0,21086,10042,0.0853,2.556,3.091,15,0.324,0.0386,0.741,0.084,True,CLEAN,1071
2.0,0.4,0.752,80,10000,400,0,23226,10090,0.0806,2.557,2.775,12,0.479,0.0347,0.81,0.18,True,CLEAN,1161
2.0,0.6,0.728,80,10000,400,0,24914,10142,0.0763,2.71,2.035,23,0.236,0.0254,0.722,0.284,True,CLEAN,1203
2.0,0.8,0.748,80,10000,400,0,23592,10106,0.081,2.668,1.979,24,0.318,0.0247,0.672,0.212,True,CLEAN,1134
2.5,0.2,0.8,80,10000,400,0,20982,10114,0.0874,2.603,2.183,19,0.243,0.0273,0.699,0.228,True,CLEAN,1064
2.5,0.4,0.92,80,10000,400,0,17408,10002,0.1068,2.499,2.368,23,0.191,0.0296,0.702,0.004,True,CLEAN,1038
2.5,0.6,0.824,80,10000,400,0,20154,10020,0.0938,2.617,2.762,12,0.072,0.0345,0.893,0.04,True,CLEAN,1084
2.5,0.8,0.876,80,10000,400,0,18722,9974,0.1015,2.628,2.214,19,0.28,0.0277,0.703,-0.052,True,CLEAN,1071
3.0,0.2,0.92,80,10000,400,0,15648,10048,0.118,2.375,2.452,22,0.271,0.0307,0.697,0.096,True,CLEAN,958
3.0,0.4,0.948,80,10000,400,0,15034,9994,0.1247,2.285,3.618,15,0.196,0.0452,0.767,-0.012,True,CLEAN,964
3.0,0.6,0.892,80,10000,400,0,17042,10030,0.1114,2.391,2.967,13,0.163,0.0371,0.895,0.06,True,CLEAN,990
3.0,0.8,0.796,80,10000,400,0,21142,10132,0.0912,2.654,2.1,24,0.224,0.0263,0.7,0.264,True,CLEAN,1080
3.5,0.2,1.028,80,10000,400,0,13282,9980,0.1394,1.415,2.998,21,0.007,0.0375,0.735,-0.04,True,CLEAN,923
3.5,0.4,0.964,80,10000,400,0,14784,10036,0.1282,1.437,2.726,21,0.033,0.0341,0.726,0.072,True,CLEAN,956
3.5,0.6,0.952,80,10000,400,0,14950,10050,0.1274,1.642,2.945,18,0.013,0.0368,0.729,0.1,True,CLEAN,961
3.5,0.8,0.984,80,10000,400,0,14452,10026,0.1324,1.814,2.426,25,0.239,0.0303,0.734,0.052,True,CLEAN,968
